Aaron Tan,Female,26,193,50,12,12.33,11.04
Brenda Lim,Male,44,259,20,9,9.1,9.81
Cheryl Ong,Female,43,157,29,19,13.17,14.85
Daniel Lee,Female,36,182,44,13,11.47,12.7
Ethan Ng,Male,50,250,32,6,9.75,12.92
Fiona Chan,Female,42,197,44,7,10.13,12.2
Gabriel Ho,Male,40,241,35,12,11.62,11.82
Hannah Goh,Female,28,188,34,10,12.21,14.15
Isaac Tan,Male,38,230,35,13,9.94,10.29
Jolene Koh,Male,51,209,31,10,9.2,14.91
Kelvin Chua,Female,49,178,55,6,11.85,12.75
Lydia Wong,Male,33,264,29,14,11.92,11.62
Marcus Lim,Female,35,192,34,12,12.9,13.24
Nicole Tan,Female,37,161,43,7,12.08,13.24
Oscar Lee,Male,58,181,48,2,9.6,11.5
Priscilla Ng,Female,25,212,50,10,11.84,13.5
Ryan Ho,Female,42,216,38,17,11.86,15.51
Samantha Ong,Male,42,270,25,4,11.58,12.41
Timothy Chan,Male,45,209,30,5,10.94,12.64
Vanessa Lim,Male,31,185,22,10,10.89,14.48
